"Requirement ID";"Original Requirement Text";"Suggested Reformulation";"Pattern";"Issues";"Severity";"Conflicts";"Missing Information";"Rationale"
"FR-13b";"The category name shall be shown in the table view and included in the bill name if unique per payee";"When the category is unique per payee, the application shall include the category name in the bill name.";"P2";"COMPOUND, WRONG-SUBJECT, PASSIVE-VOICE, AMBIGUOUS";"Major";"";"";"Second obligation from the decomposition. Condition ""unique per payee"" retained as trigger; its exact meaning (exactly one category among the payee's transactions) should be confirmed."
"FR-14";"The behavior for uncategorized transactions shall be configurable (include/exclude/neutral)";"The application shall process uncategorized transactions according to the configured behavior, where the configured behavior is one of include, exclude, or neutral.";"P1";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"Definition of the ""neutral"" behavior is not given";"Passive obligation on the artefact (""the behavior""); reformulated with the application as active subject. ""neutral"" is undefined in the specification and must be defined to be verifiable."
"FR-15";"The application shall expose a web UI via a built-in HTTP server";"The application shall expose a web UI via a built-in HTTP server";"P1";"NONE";"";"";"";"Meets all review criteria. Interpreted as an intentional architectural constraint on delivery mechanism."
"FR-16";"The web UI shall fetch existing categories from the Firefly III API and present them as multiselect lists";"When the web UI page is loaded, the web UI shall fetch the existing categories from the Firefly III API and display them as multiselect lists.";"P2";"TRIGGER-MISSING";"Major";"";"";"Trigger absent in the original; ""on page load"" taken from UC6 primary flow step 1. Fetch-and-display treated as one obligation chain, not decomposed. Subsystem ""web UI"" is an acceptable subject per R11."
"FR-17a";"Analysis results shall be shown in a sortable table with inline editing of amount, frequency, and start date";"When an analysis completes, the web UI shall display the analysis results in a sortable table.";"P2";"COMPOUND, WRONG-SUBJECT, PASSIVE-VOICE, TRIGGER-MISSING";"Major";"";"";"Original combined display and editing obligations; decomposed per R4. Passive artefact subject corrected to the web UI. Trigger inferred from UC3; requires owner confirmation."
"FR-17b";"Analysis results shall be shown in a sortable table with inline editing of amount, frequency, and start date";"The web UI shall accept inline edits of amount, frequency, and start date for each analysis result row.";"P1";"COMPOUND, WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Second obligation from the decomposition; editing capability per UC3 step 4 made an explicit obligation of the web UI."
"FR-18";"The web UI shall show the outcome of bill creation (created / already exists / error) without a page reload";"When bill creation completes, the web UI shall display the outcome per bill (created, already exists, or error) without reloading the page.";"P2";"TRIGGER-MISSING";"Major";"";"";"Trigger only implicit (""the outcome of bill creation""); made explicit in P2 form per UC3 step 6. Enumerated outcomes fully expanded."
"FR-19";"Dry-run mode shall be activatable via a toggle in the web UI";"When the user enables the dry-run toggle in the web UI, the web UI shall activate dry-run mode.";"P2";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Passive capability form (""shall be activatable"") with the mode as subject; reformulated with the web UI as active subject and the user action as trigger per ISO 29148 5.2.4."
"FR-20";"Export of analysis results (CSV/JSON) shall be triggerable via a button in the web UI";"When the user clicks the export button in the web UI, the application shall export the analysis results to CSV format or JSON format.";"P2";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Passive capability form with the export action as subject; reformulated with the application as active subject and the user action as trigger."
"FR-21";"The application shall cache categories, bills, transactions, and payees as JSON files on disk";"The application shall cache categories, bills, transactions, and payees as JSON files on disk";"P1";"NONE";"";"";"";"Meets all review criteria. ""and"" joins the items of one caching obligation, not separate obligations; not decomposed per R4."
"FR-22";"TTL shall be separately configurable per data set";"The application shall read a separate cache TTL from configuration for each cached data set (categories, bills, transactions, payees).";"P1";"WRONG-SUBJECT, PASSIVE-VOICE, AMBIGUOUS";"Major";"";"";"Passive obligation on the artefact (""TTL""); reformulated with the application as active subject. ""per data set"" made explicit by expanding the data sets from FR-21 and the UC7 table."
"FR-23";"The bills cache shall be invalidated immediately when a new bill is created via UC4";"When the application creates a new bill, the application shall invalidate the bills cache within [VALUE TBD] ms.";"P2";"WRONG-SUBJECT, PASSIVE-VOICE, NOT-MEASURABLE, VALUE-TBD";"Major";"";"Maximum allowed invalidation latency for ""immediately""";"Passive artefact subject corrected. ""immediately"" is not measurable; a latency bound is required, or the requirement owner may confirm that synchronous invalidation within the creation operation is intended. Cross-reference to UC4 replaced with the concrete event."
"FR-24a";"The web UI shall expose a ""Clear cache"" button that removes all cached data";"The web UI shall display a ""Clear cache"" button.";"P1";"COMPOUND";"Major";"";"";"Original combined a UI element obligation and a behavioral obligation in a relative clause; decomposed per R4."
"FR-24b";"The web UI shall expose a ""Clear cache"" button that removes all cached data";"When the user clicks the ""Clear cache"" button, the application shall delete all cached data.";"P2";"COMPOUND";"Major";"";"";"Second obligation from the decomposition; behavior per UC7 manual-clear flow, with the application as acting subject and the user click as trigger."
"FR-26a";"The firefly-python-api package shall read FIREFLY_URL and FIREFLY_TOKEN from environment variables or a .env file and expose a FireflyClient class with a configured requests.Session";"The firefly-python-api package shall read FIREFLY_URL and FIREFLY_TOKEN from environment variables or from a .env file.";"P1";"COMPOUND, DESIGN-LEAK";"Major";"";"Precedence order between environment variables and the .env file is undefined";"Original combined configuration loading and interface exposure; decomposed per R4. Precedence between sources should be defined (same gap as FR-10)."
"FR-26b";"The firefly-python-api package shall read FIREFLY_URL and FIREFLY_TOKEN from environment variables or a .env file and expose a FireflyClient class with a configured requests.Session";"The firefly-python-api package shall expose a FireflyClient class that provides a configured requests.Session.";"P1";"COMPOUND, DESIGN-LEAK";"Major";"";"";"Second obligation from the decomposition. Naming a concrete implementation type (requests.Session) is a design decision inside a requirement (R7); acceptable only if this document is intentionally also the interface specification for the package. Requires owner confirmation."
"FR-27";"The confidence score shall be computed from occurrence count (weight 0.4), interval regularity (weight 0.4), and amount stability (weight 0.2), with an optional category boost; the result shall be clamped to [0.0, 1.0]";"When the application classifies recurring payment patterns, the application shall compute the confidence score as 0.4 times the occurrence score plus 0.4 times the regularity score plus 0.2 times the amount score plus the category boost, and shall clamp the result to the range [0.0, 1.0].";"P2";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Passive obligation on the artefact (""the confidence score""); reformulated with the application as active subject. Computation and clamping treated as one obligation (clamping is part of producing the score). Formula details align with UC2 step 5."
"NFR-01";"The application shall be written in Python 3.10+";"The application shall be written in Python 3.10+";"P1";"NONE";"";"";"";"Meets all review criteria. Development constraint in conventional passive constraint form; imposes a verifiable obligation and is reviewed as a normal constraint requirement."
"NFR-02";"External dependencies shall be kept minimal; requests, python-dotenv, and Flask or FastAPI are sufficient";"The application shall use no external runtime dependencies other than requests, python-dotenv, and Flask or FastAPI.";"P1";"WRONG-SUBJECT, PASSIVE-VOICE, AMBIGUOUS";"Major";"";"Final choice between Flask and FastAPI is open";"""minimal"" is subjective; the second clause was interpreted as defining the allowed dependency set and folded into a verifiable closed list. Obligation moved to the application in active form. The Flask/FastAPI alternative leaves the dependency set undetermined."
"NFR-03";"The application shall handle Firefly III API pagination transparently";"When a Firefly III API response is paginated, the application shall fetch all pages and aggregate the results before returning them to the caller.";"P2";"WEAK-VERB, AMBIGUOUS";"Major";"";"";"Weak verb ""handle"" and subjective adverb ""transparently"" replaced with concrete, verifiable behavior. Interpretation (fetch all pages, aggregate) requires owner confirmation."
"NFR-04";"Error handling shall produce clear error messages without stack traces for common errors";"If a common error occurs, then the application shall display an error message that states the cause of the error and shall not include a stack trace in the message.";"P4";"WRONG-SUBJECT, AMBIGUOUS";"Major";"";"Definition or list of ""common errors""; criteria for what constitutes a ""clear"" message";"Obligation placed on ""error handling"" instead of the application; corrected. ""clear"" is subjective; approximated with ""states the cause"", requires owner confirmation. ""common errors"" must be enumerated to be verifiable. The negative clause is a legitimate exclusion; not tagged NEGATIVE-REQUIREMENT."
"NFR-05";"Analysis of 24 months of data shall complete in under 60 seconds";"When the user starts an analysis of 24 months of transaction data, the application shall complete the analysis within 60 seconds.";"P2";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"Assumed transaction volume and execution environment for the 60-second bound";"Obligation placed on ""analysis"" instead of the application; corrected to active form with explicit trigger. Time bound is measurable but the reference data volume and hardware are unstated, which weakens verifiability."
"NFR-06";"The web UI shall work without external CDN dependencies (all assets served locally)";"The web UI shall load all of its assets from the local web server and shall not fetch any asset from an external CDN.";"P1";"WEAK-VERB";"Major";"";"";"Weak verb ""work"" replaced with the concrete obligation from the parenthesis. The negative clause is a legitimate scope exclusion; not tagged NEGATIVE-REQUIREMENT."
"NFR-07a";"The web server shall listen on a configurable port (default: 5000) and configurable bind address (default: 127.0.0.1); to allow access from other machines the bind address shall be settable to 0.0.0.0 via WEB_HOST";"The web server shall listen on a configurable port, with a default port of 5000.";"P1";"COMPOUND";"Major";"";"";"Original combined port configuration, bind-address configuration, and a specific bind-address capability; decomposed per R4."
"NFR-07b";"The web server shall listen on a configurable port (default: 5000) and configurable bind address (default: 127.0.0.1); to allow access from other machines the bind address shall be settable to 0.0.0.0 via WEB_HOST";"The web server shall bind to the address configured via WEB_HOST, with a default bind address of 127.0.0.1, including support for the value 0.0.0.0.";"P1";"COMPOUND";"Major";"";"";"Second obligation from the decomposition. The third clause of the original (settable to 0.0.0.0) is a special case of configurable bind address and was merged here; it added no independent obligation."
"NFR-09";"The cache directory shall persist across application restarts";"The application shall retain the cache directory and its contents across application restarts.";"P1";"WRONG-SUBJECT, PASSIVE-VOICE";"Major";"";"";"Obligation placed on the artefact (""the cache directory""); reformulated with the application as active subject per ISO 29148 5.2.4. Note: the ID sequence jumps from NFR-07 to NFR-09; NFR-08 is missing from the specification."
"NFR-10";"firefly-python-api shall be a standalone, pip-installable package shared with firefly-bank-importer";"firefly-python-api shall be a standalone, pip-installable package shared with firefly-bank-importer";"P1";"NONE";"";"";"";"Meets all review criteria. Packaging constraint with the package itself as subject; ""pip-installable"" and ""shared with firefly-bank-importer"" are verifiable properties."
"NFR-11";"The shared package shall have no opinionated dependencies beyond requests and python-dotenv";"The firefly-python-api package shall declare no runtime dependencies other than requests and python-dotenv.";"P1";"AMBIGUOUS, TERM-INCONSISTENT";"Major";"";"Definition of ""opinionated"" dependency";"""opinionated"" is subjective and unverifiable; reformulated as a closed dependency list, requires owner confirmation. ""The shared package"" used as a synonym for firefly-python-api used elsewhere; canonical name applied."
"TXT-REQ-001";"The application does not create categories or budgets in Firefly III";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Standalone scope constraint stated as fact in the Constraints section, not attached to a specific requirement. Legitimate negative scope boundary per R12; if it shall be binding and verifiable, it should be promoted to a shall-not requirement by the owner."
"TXT-REQ-002";"Transactions with an irregular pattern (confidence below the minimum threshold) are reported but do not result in bill creation without explicit approval";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Constraint qualifying the behavior of FR-04/FR-05 and UC3 approval flow rather than a standalone obligation. Note a latent terminology issue: it equates ""irregular pattern"" with ""confidence below threshold"", while FR-03 and UC2 define irregular by interval, not confidence; owner should reconcile."
"TXT-REQ-003";"The application does not handle deletion or updating of existing bills";"";"";"CONDITION-OR-CONSTRAINT";"";"";"";"Standalone scope constraint stated as fact. Legitimate negative scope boundary; if binding, promote to a shall-not requirement or an explicit out-of-scope statement confirmed by the owner."
"REVIEW-TERMINOLOGY";"";"";"";"TERM-INCONSISTENT";"Minor";"";"Definitions of ""neutral"" behavior, ""common errors"", ""opinionated"" dependency, duplicate-matching criterion";"Dominant binding modal is ""shall"", used consistently; no modal drift detected. Terminology is largely consistent (application, web UI, Firefly III), but ""the shared package"" alternates with ""firefly-python-api"" (NFR-11), and ""irregular"" is defined by interval in FR-03/UC2 but by confidence in the Constraints section. No term-definition section per ISO 29148 5.2.4; the Actors table partially compensates. NFR numbering gap: NFR-08 is missing."
"REVIEW-TRACEABILITY";"";"";"";"NONE";"";"";"";"The input carries no traceability apparatus (no parent/derived-from fields, no RTM references, no origin annotations); traceability was out of scope for this review and no per-row TRACE-MISSING tags were applied. Requirements do informally reference use cases (e.g. FR-23 references UC4), which could be formalized into trace links."
